,Broad Type
B Cell (CD24- CD27- CD38-),B Cell
B Cell (Memory),B Cell
B Cell (Naive),B Cell
B Cell (Plasmablast),B Cell
B Cell (Transitional),B Cell
Basophil,Basophil
CD4+ T Cell (Central Memory),CD4 T Cell
CD4+ T Cell (EMRA),CD4 T Cell
CD4+ T Cell (Effector Memory),CD4 T Cell
CD4+ T Cell (Naive),CD4 T Cell
CD4+ T Cell (Treg),CD4 T Cell
CD4- CD8- T Cell,CD4- CD8- T Cell
CD8+ T Cell (Central Memory),CD8 T Cell
CD8+ T Cell (EMRA),CD8 T Cell
CD8+ T Cell (Effector Memory),CD8 T Cell
CD8+ T Cell (Naive),CD8 T Cell
"Dendritic Cell (Type 2, CD1c+)",Dendritic Cell
Granulocyte,Granulocyte
Monocyte (CD14+ CD16+),Monocyte
Monocyte (CD14+ CD16-),Monocyte
Monocyte (CD14- CD16+),Monocyte
NK Cell (CD56+ CD16+),NK Cell
NK Cell (CD56+ CD16-),NK Cell
NKT Cell,NKT Cell
Plasmacytoid Dendritic Cell,Dendritic Cell
gd T Cell,gd T Cell
