,B Cell (CD24- CD27- CD38-),B Cell (Memory),B Cell (Naive),B Cell (Plasmablast),B Cell (Transitional),Basophil,CD4+ T Cell (Central Memory),CD4+ T Cell (EMRA),CD4+ T Cell (Effector Memory),CD4+ T Cell (Naive),CD4+ T Cell (Treg),CD4- CD8- T Cell,CD8+ T Cell (Central Memory),CD8+ T Cell (EMRA),CD8+ T Cell (Effector Memory),CD8+ T Cell (Naive),"Dendritic Cell (Type 2, CD1c+)",Granulocyte,Monocyte (CD14+ CD16+),Monocyte (CD14+ CD16-),Monocyte (CD14- CD16+),NK Cell (CD56+ CD16+),NK Cell (CD56+ CD16-),NKT Cell,Plasmacytoid Dendritic Cell,gd T Cell
APCDD1,0.3024,0.1677,0.4854,0.253,0.3134,0.7704,0.1189,0.0359,0.103,0.0844,0.0839,0.1302,0.0821,0.036,0.0365,0.0646,0.8926,0.133,1.5335,1.9075,0.3513,0.0123,0.0363,0.0547,0.283,0.1153
ArmenianHamsterIgGIsotypeCtrl,0.1758,0.2093,0.1344,0.2491,0.1965,0.112,0.2051,0.1929,0.2202,0.1747,0.1685,0.1876,0.1417,0.123,0.1193,0.1475,0.4341,0.1954,0.412,0.3905,0.3095,0.2013,0.2218,0.1477,0.2847,0.1961
B7H4,0.8804,1.2556,0.6341,1.0598,0.7397,0.7646,1.8213,1.4375,2.0129,1.268,1.8841,1.28,1.3504,1.1898,1.1944,0.9892,1.4914,0.7239,1.763,1.754,1.5621,1.1882,1.2686,1.4172,1.3769,1.2086
BTLA,1.8103,1.7739,2.1613,1.6884,2.2349,0.001,0.8656,0.6633,0.8141,0.7935,0.3774,0.3187,0.4754,0.1076,0.3047,0.5817,1.4332,0.1336,1.8543,2.4683,0.3624,0.0367,0.0983,0.4131,2.0206,0.8876
C3AR,0.1086,0.1526,0.0371,0.1824,0.0662,1.1404,0.0844,0.0461,0.1502,0.0274,0.0621,0.1691,0.0856,0.0555,0.0928,0.0164,0.4158,0.3289,1.4979,1.1306,1.5401,0.1005,0.1099,0.1518,0.2362,0.1911
CCR10,0.3602,0.4837,0.2703,0.3945,0.3551,0.2364,0.2753,0.2364,0.3856,0.2338,0.3154,0.3786,0.2079,0.2701,0.1832,0.2412,1.6703,0.6252,3.1765,3.7446,1.0744,0.2733,0.4249,0.2226,0.3926,0.2357
CCR8,0.0807,0.1749,0.06,0.1956,0.1433,0.0344,0.0937,0.0584,0.144,0.0292,0.0944,0.0625,0.0731,0.0809,0.0782,0.0171,0.8014,0.1326,1.7891,2.1882,0.4108,0.0735,0.0953,0.1232,0.1823,0.1533
CCRL2,0.015,0.0876,0.0285,0.0688,0.0828,0.4157,0.0473,0.0529,0.0993,0.0159,0.0622,0.0866,0.0595,0.0387,0.0529,0.0052,0.9614,0.0951,1.7454,2.1501,0.5175,0.0483,0.1045,0.0829,0.2963,0.1797
CCXCKR,0.1507,0.1697,0.0416,0.126,0.0795,0.0858,0.049,0.0072,0.0563,0.0153,0.0334,0.099,0.0093,0.0164,0.0406,0.0057,0.572,0.0884,0.7101,0.6117,0.4729,0.0778,0.1201,0.0375,0.1526,0.1007
CD10,0.0571,0.1116,0.0985,0.0906,1.2775,0.0347,0.0358,0.0088,0.0549,0.0097,0.0235,0.033,0.0,0.0003,0.0,0.0027,0.1899,2.3328,0.2336,0.2207,0.1882,0.0458,0.0443,0.0013,0.2101,0.052
CD100,0.0804,0.1348,0.0857,0.1548,0.1491,0.3862,0.2228,0.225,0.1989,0.3541,0.1912,0.1613,0.1187,0.047,0.1041,0.2801,0.2967,0.1091,0.4463,0.3296,0.5,0.0973,0.2234,0.0789,0.178,0.1656
CD102,1.4351,1.5288,1.6081,1.7757,1.915,1.7668,1.455,1.414,2.0609,0.9532,1.7854,1.5485,1.5083,1.8793,1.7706,1.0734,2.8508,0.1771,3.2398,2.8475,2.9467,2.2468,1.7974,2.1549,0.4237,1.889
CD103,0.0104,0.0291,0.0,0.0585,0.0219,0.003,0.0262,0.0079,0.0612,0.0072,0.0389,0.001,0.0,0.0054,0.0064,0.0,0.1903,0.0,0.1869,0.2105,0.1365,0.0344,0.0392,0.0,0.0553,0.0145
CD104,0.0491,0.0191,0.0107,0.0715,0.0324,0.0035,0.0243,0.0841,0.0623,0.0148,0.0001,0.0316,0.0,0.0,0.0273,0.0098,0.5419,0.0251,1.4406,1.8634,0.2331,0.0055,0.0411,0.0049,0.0229,0.0497
CD105,0.1963,0.1049,0.1668,0.1529,0.1615,0.013,0.0583,0.0406,0.0854,0.025,0.024,0.0865,0.0333,0.007,0.0312,0.0094,1.0127,0.0,1.563,1.2391,0.6684,0.0883,0.1966,0.0234,0.3195,0.1115
CD106,0.0,0.0021,0.0,0.0259,0.0,0.0008,0.0,0.0,0.0,0.0,0.0037,0.0098,0.0,0.0,0.0,0.0,0.1256,0.0,0.1113,0.1167,0.1112,0.0017,0.0424,0.0,0.1079,0.0016
CD107a,1.3162,1.2106,1.069,1.3184,0.5649,1.2156,0.4907,0.6858,0.5274,0.4528,0.3922,0.6953,0.5913,0.7593,0.6938,0.42,0.6079,0.5099,1.7472,1.5904,1.2289,1.1921,1.1724,0.8263,0.7131,0.9076
CD107b,0.249,0.2152,0.2272,0.3549,0.1876,0.6035,0.109,0.1139,0.1373,0.068,0.0943,0.1375,0.1048,0.077,0.096,0.0648,0.368,0.445,0.7596,0.7439,0.4447,0.1868,0.2414,0.1312,0.3554,0.1465
CD109,0.0221,0.0345,0.0,0.045,0.0055,0.0307,0.0046,0.0,0.0204,0.0016,0.015,0.0258,0.0,0.0,0.0,0.0,0.1259,0.0,0.1897,0.1591,0.1253,0.0061,0.0582,0.0,0.0723,0.0065
CD111,0.0045,0.0231,0.0,0.0476,0.0,0.0079,0.0181,0.0378,0.0382,0.0079,0.0174,0.0262,0.0,0.0,0.0,0.0,0.1946,0.0,0.1798,0.248,0.1443,0.0344,0.0283,0.0004,0.3715,0.0097
CD112,0.0737,,0.0152,0.0627,0.0,,0.0603,0.0882,0.101,0.0123,0.0384,0.0416,0.0234,0.0193,0.0438,0.0093,0.4442,0.0219,0.4757,0.5236,0.2822,0.0344,0.0757,0.0139,,0.0437
CD114,0.0597,0.0615,0.0462,0.1159,0.0356,0.0441,0.0744,0.1007,0.0827,0.0226,0.0644,0.0369,0.0001,0.0349,0.0477,0.0196,0.2932,0.3826,0.4164,0.5658,0.2163,0.0585,0.0516,0.0291,0.206,0.0917
CD115,0.1103,0.079,0.0403,0.132,0.0486,0.0772,0.4804,0.384,0.4032,0.4372,0.2662,0.1294,0.0856,0.0161,0.0177,0.282,0.3328,0.0661,0.3457,0.3276,0.2825,0.0473,0.1223,0.1388,0.0904,0.1091
CD116,0.0216,0.0007,0.0462,0.0069,0.0555,1.3334,0.0217,0.0,0.04,0.0,0.0448,0.0497,0.0331,0.0867,0.0576,0.0,0.7381,0.0025,0.5582,0.6848,0.2322,0.6314,0.6148,0.0973,1.5628,0.2182
CD117,0.025,0.0496,0.0042,0.1162,0.0677,0.0452,0.0399,0.0389,0.048,0.0207,0.0222,0.0516,0.0097,0.0,0.0108,0.0171,0.3447,0.0446,0.4448,0.3389,0.3235,0.0513,0.1091,0.0194,0.4617,0.0428
CD119,0.0903,0.1538,0.0652,0.173,0.1319,0.1262,0.0674,0.1268,0.0986,0.0331,0.0498,0.2335,0.0716,0.0502,0.0776,0.0036,0.8627,0.1398,0.9112,0.757,0.5661,0.1271,0.0998,0.0923,0.6742,0.2001
CD11a,0.7616,0.7869,0.6551,0.9858,0.576,0.7931,1.375,1.6883,1.5037,1.1197,1.2358,1.4317,1.5375,1.6223,1.5634,1.1838,1.7372,0.8658,1.824,1.8232,1.7889,1.6312,1.584,1.6664,1.4839,1.6386
CD11b,0.0204,0.1847,0.0048,0.223,0.0249,0.7989,0.0395,0.312,0.1056,0.023,0.0238,0.072,0.0152,0.0873,0.0803,0.0034,0.4289,1.4977,1.6217,1.7597,0.4418,0.8612,0.9359,0.303,0.1278,0.2462
CD120b,0.287,0.2375,0.0703,0.2051,0.135,0.0321,0.1015,0.1195,0.1226,0.0519,0.1046,0.0664,0.057,0.0727,0.0555,0.0431,0.7714,0.0405,0.6577,0.8162,0.3588,0.0851,0.0798,0.0952,0.1309,0.0968
CD122,0.0092,0.0247,0.0,0.0561,0.0777,0.0292,0.0386,0.0844,0.0591,0.0045,0.0426,0.0705,0.0602,0.0732,0.0582,0.0,0.1674,0.039,0.2386,0.2733,0.1604,0.6675,0.7583,0.0926,0.1551,0.1569
CD123,0.1481,0.2431,0.2363,0.2186,0.2045,1.6215,0.0563,0.0618,0.0863,0.0125,0.0395,0.0551,0.0489,0.0304,0.0407,0.0186,0.7436,0.0526,0.7967,0.6134,0.9132,0.0876,0.1799,0.1229,1.5325,0.1219
CD123_Lyo,0.1067,0.0147,0.8672,0.0373,0.7672,5.3404,0.0,0.0,0.0,0.0,0.0,0.0012,0.0001,0.0006,0.0001,0.0002,1.1028,0.015,1.0832,0.23,2.3064,0.0,0.0002,0.0002,4.9668,0.0001
CD124,0.0926,0.0706,0.1935,0.1883,0.1573,0.0386,0.0493,0.0358,0.0795,0.0162,0.0144,0.0747,0.014,0.0435,0.038,0.0,0.5286,0.0803,1.437,2.0152,0.2217,0.0119,0.0726,0.0354,0.093,0.0759
CD126,0.8568,0.8989,0.8193,1.131,0.2571,1.0151,1.5213,1.0881,1.6501,1.253,1.3546,1.5859,1.6749,1.7727,1.7661,1.2099,2.3629,0.8535,2.2554,2.1917,1.9759,1.7756,1.6419,1.7293,1.8461,1.8371
CD127,0.8427,1.0907,0.7427,1.0839,1.208,1.8165,1.8031,1.3042,2.0059,1.5105,1.4946,1.7161,1.7727,1.7186,1.8069,1.4816,1.8922,2.4867,3.1315,3.1726,1.9223,2.254,2.2441,2.1626,1.5125,2.2442
CD127_Lyo,0.0,0.0001,0.0,0.0013,0.0,0.0001,1.3074,0.746,1.1336,1.197,0.1482,0.4713,0.4416,0.0003,0.1463,0.7891,0.0001,0.0589,0.0001,0.0,0.0005,0.0,0.0056,0.1441,0.0,0.4427
CD13,0.0494,0.3896,0.0,0.2124,0.0511,1.4911,0.029,0.0038,0.0987,0.0,0.0648,0.1196,0.0947,0.3427,0.1418,0.0076,1.1719,2.4937,2.5208,2.595,1.5385,1.4197,1.4452,0.694,0.115,0.464
CD130,0.0,0.0056,0.0,0.045,0.0024,0.0,0.0868,0.0482,0.0427,0.1714,0.0198,0.0,0.0,0.0,0.0,0.0317,0.2575,0.0243,0.9047,1.4058,0.1566,0.0095,0.014,0.0,0.0484,0.0
CD131,0.1359,0.2363,0.0842,0.2033,0.1973,1.994,0.1152,0.07,0.1369,0.0706,0.1092,0.1145,0.0742,0.0354,0.064,0.0611,0.3781,0.6562,0.4951,0.4988,0.3415,0.1015,0.1671,0.0448,1.0342,0.1389
CD134,0.0946,0.0665,0.0556,0.1227,0.1077,0.0601,0.2828,0.1016,0.4124,0.1109,0.2732,0.1235,0.0906,0.0684,0.0718,0.0745,0.2404,0.0022,0.3074,0.268,0.2095,0.1022,0.259,0.0822,0.2765,0.1386
CD135,0.0327,0.0552,0.0175,0.0864,0.0049,0.0321,0.0445,0.0481,0.0675,0.0299,0.0408,0.0355,0.0192,0.0,0.0,0.0028,0.2758,0.0226,0.2713,0.3209,0.1979,0.0419,0.0582,0.0259,0.1615,0.08
